worker1, worker2, score, money, flask, gear, startflag, score
E,L,1.0,3.0,0.0,9.0,9.0,15
E,L,1.0,4.0,0.0,0.0,0.0,25
E,L,1.0,4.0,0.0,0.0,1.0,25
E,L,1.0,4.0,0.0,0.0,2.0,25
E,L,1.0,4.0,0.0,0.0,3.0,25
E,L,1.0,4.0,0.0,0.0,4.0,25
E,L,1.0,4.0,0.0,0.0,5.0,25
E,L,1.0,4.0,0.0,0.0,6.0,25
E,L,1.0,4.0,0.0,0.0,7.0,25
E,L,1.0,4.0,0.0,0.0,8.0,25
E,L,1.0,4.0,0.0,0.0,9.0,25
E,L,1.0,4.0,0.0,1.0,0.0,27
E,L,1.0,4.0,0.0,1.0,1.0,27
E,L,1.0,4.0,0.0,1.0,2.0,27
E,L,1.0,4.0,0.0,1.0,3.0,27
E,L,1.0,4.0,0.0,1.0,4.0,27
E,L,1.0,4.0,0.0,1.0,5.0,27
E,L,1.0,4.0,0.0,1.0,6.0,27
E,L,1.0,4.0,0.0,1.0,7.0,27
E,L,1.0,4.0,0.0,1.0,8.0,27
E,L,1.0,4.0,0.0,1.0,9.0,27
E,L,1.0,4.0,0.0,2.0,0.0,30
E,L,1.0,4.0,0.0,2.0,1.0,30
E,L,1.0,4.0,0.0,2.0,2.0,30
E,L,1.0,4.0,0.0,2.0,3.0,15
E,L,1.0,4.0,0.0,2.0,4.0,15
E,L,1.0,4.0,0.0,2.0,5.0,15
E,L,1.0,4.0,0.0,2.0,6.0,15
E,L,1.0,4.0,0.0,2.0,7.0,15
E,L,1.0,4.0,0.0,2.0,8.0,15
E,L,1.0,4.0,0.0,2.0,9.0,15
E,L,1.0,4.0,0.0,3.0,0.0,30
E,L,1.0,4.0,0.0,3.0,1.0,30
E,L,1.0,4.0,0.0,3.0,2.0,30
E,L,1.0,4.0,0.0,3.0,3.0,30
E,L,1.0,4.0,0.0,3.0,4.0,30
E,L,1.0,4.0,0.0,3.0,5.0,30
E,L,1.0,4.0,0.0,3.0,6.0,15
E,L,1.0,4.0,0.0,3.0,7.0,15
E,L,1.0,4.0,0.0,3.0,8.0,15
E,L,1.0,4.0,0.0,3.0,9.0,15
E,L,1.0,4.0,0.0,4.0,0.0,15
E,L,1.0,4.0,0.0,4.0,1.0,15
E,L,1.0,4.0,0.0,4.0,2.0,15
E,L,1.0,4.0,0.0,4.0,3.0,15
E,L,1.0,4.0,0.0,4.0,4.0,15
E,L,1.0,4.0,0.0,4.0,5.0,15
E,L,1.0,4.0,0.0,4.0,6.0,15
E,L,1.0,4.0,0.0,4.0,7.0,15
E,L,1.0,4.0,0.0,4.0,8.0,15
E,L,1.0,4.0,0.0,4.0,9.0,15
E,L,1.0,4.0,0.0,5.0,0.0,15
E,L,1.0,4.0,0.0,5.0,1.0,15
E,L,1.0,4.0,0.0,5.0,2.0,15
E,L,1.0,4.0,0.0,5.0,3.0,15
E,L,1.0,4.0,0.0,5.0,4.0,15
E,L,1.0,4.0,0.0,5.0,5.0,15
E,L,1.0,4.0,0.0,5.0,6.0,15
E,L,1.0,4.0,0.0,5.0,7.0,15
E,L,1.0,4.0,0.0,5.0,8.0,15
E,L,1.0,4.0,0.0,5.0,9.0,15
E,L,1.0,4.0,0.0,6.0,0.0,15
E,L,1.0,4.0,0.0,6.0,1.0,15
E,L,1.0,4.0,0.0,6.0,2.0,15
E,L,1.0,4.0,0.0,6.0,3.0,15
E,L,1.0,4.0,0.0,6.0,4.0,15
E,L,1.0,4.0,0.0,6.0,5.0,15
E,L,1.0,4.0,0.0,6.0,6.0,15
E,L,1.0,4.0,0.0,6.0,7.0,15
E,L,1.0,4.0,0.0,6.0,8.0,15
E,L,1.0,4.0,0.0,6.0,9.0,15
E,L,1.0,4.0,0.0,7.0,0.0,15
E,L,1.0,4.0,0.0,7.0,1.0,15
E,L,1.0,4.0,0.0,7.0,2.0,15
E,L,1.0,4.0,0.0,7.0,3.0,15
E,L,1.0,4.0,0.0,7.0,4.0,15
E,L,1.0,4.0,0.0,7.0,5.0,15
E,L,1.0,4.0,0.0,7.0,6.0,15
E,L,1.0,4.0,0.0,7.0,7.0,15
E,L,1.0,4.0,0.0,7.0,8.0,15
E,L,1.0,4.0,0.0,7.0,9.0,15
E,L,1.0,4.0,0.0,8.0,0.0,15
E,L,1.0,4.0,0.0,8.0,1.0,15
E,L,1.0,4.0,0.0,8.0,2.0,15
E,L,1.0,4.0,0.0,8.0,3.0,15
