worker1, worker2, score, money, flask, gear, startflag, score1(startFlag=True), score2(startFlag=False)
E,L,1.0,3.0,0.0,7.0,3.0,17,6
E,L,1.0,3.0,0.0,7.0,4.0,17,6
E,L,1.0,3.0,0.0,7.0,5.0,17,6
E,L,1.0,3.0,0.0,7.0,6.0,17,6
E,L,1.0,3.0,0.0,7.0,7.0,6,15
E,L,1.0,3.0,0.0,7.0,8.0,0,19
E,L,1.0,3.0,0.0,7.0,9.0,15,23
E,L,1.0,3.0,0.0,8.0,0.0,17,0
E,L,1.0,3.0,0.0,8.0,1.0,17,0
E,L,1.0,3.0,0.0,8.0,2.0,17,6
E,L,1.0,3.0,0.0,8.0,3.0,17,6
E,L,1.0,3.0,0.0,8.0,4.0,17,6
E,L,1.0,3.0,0.0,8.0,5.0,17,6
E,L,1.0,3.0,0.0,8.0,6.0,17,6
E,L,1.0,3.0,0.0,8.0,7.0,6,15
E,L,1.0,3.0,0.0,8.0,8.0,0,19
E,L,1.0,3.0,0.0,8.0,9.0,15,23
E,L,1.0,3.0,0.0,9.0,0.0,17,0
E,L,1.0,3.0,0.0,9.0,1.0,17,0
E,L,1.0,3.0,0.0,9.0,2.0,21,0
E,L,1.0,3.0,0.0,9.0,3.0,21,0
E,L,1.0,3.0,0.0,9.0,4.0,17,6
E,L,1.0,3.0,0.0,9.0,5.0,17,6
E,L,1.0,3.0,0.0,9.0,6.0,17,6
E,L,1.0,3.0,0.0,9.0,7.0,6,15
E,L,1.0,3.0,0.0,9.0,8.0,0,19
E,L,1.0,3.0,0.0,9.0,9.0,15,23
E,L,1.0,4.0,0.0,0.0,0.0,0,56
E,L,1.0,4.0,0.0,0.0,1.0,0,56
E,L,1.0,4.0,0.0,0.0,2.0,0,56
E,L,1.0,4.0,0.0,0.0,3.0,0,56
E,L,1.0,4.0,0.0,0.0,4.0,0,56
E,L,1.0,4.0,0.0,0.0,5.0,0,56
E,L,1.0,4.0,0.0,0.0,6.0,0,56
E,L,1.0,4.0,0.0,0.0,7.0,0,56
E,L,1.0,4.0,0.0,0.0,8.0,0,56
E,L,1.0,4.0,0.0,0.0,9.0,0,56
E,L,1.0,4.0,0.0,1.0,0.0,2,44
E,L,1.0,4.0,0.0,1.0,1.0,2,44
E,L,1.0,4.0,0.0,1.0,2.0,2,44
E,L,1.0,4.0,0.0,1.0,3.0,2,44
E,L,1.0,4.0,0.0,1.0,4.0,2,44
E,L,1.0,4.0,0.0,1.0,5.0,2,44
E,L,1.0,4.0,0.0,1.0,6.0,2,44
E,L,1.0,4.0,0.0,1.0,7.0,2,44
E,L,1.0,4.0,0.0,1.0,8.0,2,44
E,L,1.0,4.0,0.0,1.0,9.0,2,44
E,L,1.0,4.0,0.0,2.0,0.0,15,0
E,L,1.0,4.0,0.0,2.0,1.0,17,0
E,L,1.0,4.0,0.0,2.0,2.0,17,0
E,L,1.0,4.0,0.0,2.0,3.0,17,0
E,L,1.0,4.0,0.0,2.0,4.0,17,0
E,L,1.0,4.0,0.0,2.0,5.0,17,0
E,L,1.0,4.0,0.0,2.0,6.0,17,0
E,L,1.0,4.0,0.0,2.0,7.0,17,0
E,L,1.0,4.0,0.0,2.0,8.0,17,0
E,L,1.0,4.0,0.0,2.0,9.0,17,0
E,L,1.0,4.0,0.0,3.0,0.0,0,15
E,L,1.0,4.0,0.0,3.0,1.0,15,15
E,L,1.0,4.0,0.0,3.0,2.0,15,0
E,L,1.0,4.0,0.0,3.0,3.0,15,15
E,L,1.0,4.0,0.0,3.0,4.0,15,15
E,L,1.0,4.0,0.0,3.0,5.0,15,15
E,L,1.0,4.0,0.0,3.0,6.0,0,17
E,L,1.0,4.0,0.0,3.0,7.0,0,17
E,L,1.0,4.0,0.0,3.0,8.0,0,17
E,L,1.0,4.0,0.0,3.0,9.0,0,17
E,L,1.0,4.0,0.0,4.0,0.0,15,0
E,L,1.0,4.0,0.0,4.0,1.0,0,15
E,L,1.0,4.0,0.0,4.0,2.0,15,0
E,L,1.0,4.0,0.0,4.0,3.0,15,0
E,L,1.0,4.0,0.0,4.0,4.0,15,0
E,L,1.0,4.0,0.0,4.0,5.0,15,15
E,L,1.0,4.0,0.0,4.0,6.0,15,15
E,L,1.0,4.0,0.0,4.0,7.0,15,15
E,L,1.0,4.0,0.0,4.0,8.0,15,15
E,L,1.0,4.0,0.0,4.0,9.0,15,15
E,L,1.0,4.0,0.0,5.0,0.0,15,0
E,L,1.0,4.0,0.0,5.0,1.0,15,0
E,L,1.0,4.0,0.0,5.0,2.0,15,0
E,L,1.0,4.0,0.0,5.0,3.0,15,0
E,L,1.0,4.0,0.0,5.0,4.0,15,0
E,L,1.0,4.0,0.0,5.0,5.0,15,0
E,L,1.0,4.0,0.0,5.0,6.0,19,0
E,L,1.0,4.0,0.0,5.0,7.0,19,0
E,L,1.0,4.0,0.0,5.0,8.0,19,0
E,L,1.0,4.0,0.0,5.0,9.0,19,15
E,L,1.0,4.0,0.0,6.0,0.0,15,0
E,L,1.0,4.0,0.0,6.0,1.0,15,0
E,L,1.0,4.0,0.0,6.0,2.0,15,0
E,L,1.0,4.0,0.0,6.0,3.0,17,17
E,L,1.0,4.0,0.0,6.0,4.0,17,17
E,L,1.0,4.0,0.0,6.0,5.0,4,17
E,L,1.0,4.0,0.0,6.0,6.0,4,17
E,L,1.0,4.0,0.0,6.0,7.0,2,15
E,L,1.0,4.0,0.0,6.0,8.0,2,15
E,L,1.0,4.0,0.0,6.0,9.0,17,19
E,L,1.0,4.0,0.0,7.0,0.0,19,19
E,L,1.0,4.0,0.0,7.0,1.0,19,19
E,L,1.0,4.0,0.0,7.0,2.0,19,19
E,L,1.0,4.0,0.0,7.0,3.0,19,19
E,L,1.0,4.0,0.0,7.0,4.0,19,19
E,L,1.0,4.0,0.0,7.0,5.0,19,19
E,L,1.0,4.0,0.0,7.0,6.0,2,17
E,L,1.0,4.0,0.0,7.0,7.0,2,17
E,L,1.0,4.0,0.0,7.0,8.0,2,17
E,L,1.0,4.0,0.0,7.0,9.0,2,17
E,L,1.0,4.0,0.0,8.0,0.0,21,19
E,L,1.0,4.0,0.0,8.0,1.0,2,17
E,L,1.0,4.0,0.0,8.0,2.0,21,17
E,L,1.0,4.0,0.0,8.0,3.0,21,17
E,L,1.0,4.0,0.0,8.0,4.0,19,17
E,L,1.0,4.0,0.0,8.0,5.0,2,17
E,L,1.0,4.0,0.0,8.0,6.0,2,17
E,L,1.0,4.0,0.0,8.0,7.0,2,17
E,L,1.0,4.0,0.0,8.0,8.0,2,17
E,L,1.0,4.0,0.0,8.0,9.0,2,17
E,L,1.0,4.0,0.0,9.0,0.0,15,0
